UNIQUE,ID,Name,Description,MEF-IC,mESC-nIC,RAW264.7-IC,mESC-IC,HL-1-IC,HL-1-RBDmap,Enzyme,Metabolism,"""Metabolic.Enzyme"""
Atp5b,ENSMUSG00000025393,Atp5b,"ATP synthase, H+ transporting mitochondrial F1 complex, beta subunit",no,YES,no,no,YES,no,TRUE,TRUE,TRUE
Atp5c1,ENSMUSG00000025781,Atp5c1,"ATP synthase, H+ transporting, mitochondrial F1 complex, gamma polypeptide 1",YES,YES,no,no,YES,no,FALSE,TRUE,FALSE
Atp5f1,ENSMUSG00000000563,Atp5f1,"ATP synthase, H+ transporting, mitochondrial F0 complex, subunit B1",no,no,no,no,YES,no,FALSE,TRUE,FALSE
Atp5j2,ENSMUSG00000038690,Atp5j2,"ATP synthase, H+ transporting, mitochondrial F0 complex, subunit F2",no,no,no,no,YES,no,FALSE,TRUE,FALSE
Atp5k,ENSMUSG00000050856,Atp5k,"ATP synthase, H+ transporting, mitochondrial F1F0 complex, subunit E",no,YES,no,no,no,no,FALSE,TRUE,FALSE
Atp5o,ENSMUSG00000022956,Atp5o,"ATP synthase, H+ transporting, mitochondrial F1 complex, O subunit",no,no,no,no,YES,no,FALSE,TRUE,FALSE
Atp5sl,ENSMUSG00000057229,Atp5sl,ATP5S-like,no,YES,no,no,no,no,FALSE,FALSE,FALSE
Atp6v0a1,ENSMUSG00000019302,Atp6v0a1,"ATPase, H+ transporting, lysosomal V0 subunit A1",no,no,no,no,YES,no,FALSE,FALSE,FALSE
Atp6v1a,ENSMUSG00000052459,Atp6v1a,"ATPase, H+ transporting, lysosomal V1 subunit A",no,YES,no,no,no,no,TRUE,FALSE,FALSE
Atrx,ENSMUSG00000031229,Atrx,alpha thalassemia/mental retardation syndrome X-linked,no,YES,no,no,no,no,TRUE,FALSE,FALSE
Atxn2,ENSMUSG00000042605,Atxn2,ataxin 2,no,no,YES,YES,YES,no,FALSE,FALSE,FALSE
Atxn2l,ENSMUSG00000032637,Atxn2l,ataxin 2-like,YES,no,YES,no,YES,no,FALSE,FALSE,FALSE
B230219D22Rik,ENSMUSG00000045767,B230219D22Rik,RIKEN cDNA B230219D22 gene,no,YES,no,no,no,no,FALSE,FALSE,FALSE
Bag3,ENSMUSG00000030847,Bag3,BCL2-associated athanogene 3,no,no,no,no,YES,no,FALSE,FALSE,FALSE
Bag6,ENSMUSG00000024392,Bag6,BCL2-associated athanogene 6,no,no,no,no,YES,no,FALSE,FALSE,FALSE
Baz2a,ENSMUSG00000040054,Baz2a,"bromodomain adjacent to zinc finger domain, 2A",no,YES,no,no,no,no,FALSE,FALSE,FALSE
BC005624,ENSMUSG00000026851,BC005624,cDNA sequence BC005624,no,no,YES,no,no,no,FALSE,FALSE,FALSE
Bclaf1,ENSMUSG00000037608,Bclaf1,BCL2-associated transcription factor 1,no,YES,YES,YES,YES,no,FALSE,FALSE,FALSE
Bicc1,ENSMUSG00000014329,Bicc1,BicC family RNA binding protein 1,no,no,no,no,YES,no,FALSE,FALSE,FALSE
Bin1,ENSMUSG00000024381,Bin1,bridging integrator 1,no,no,no,no,no,YES,FALSE,FALSE,FALSE
Blvrb,ENSMUSG00000040466,Blvrb,biliverdin reductase B (flavin reductase (NADPH)),no,no,no,no,no,YES,TRUE,TRUE,TRUE
Bms1,ENSMUSG00000030138,Bms1,"BMS1, ribosome biogenesis factor",YES,YES,YES,YES,YES,YES,FALSE,FALSE,FALSE
Bola1,ENSMUSG00000015943,Bola1,bolA-like 1 (E. coli),no,no,YES,no,no,no,FALSE,FALSE,FALSE
Bop1,ENSMUSG00000022557,Bop1,block of proliferation 1,no,YES,no,YES,YES,no,FALSE,FALSE,FALSE
Bptf,ENSMUSG00000040481,Bptf,bromodomain PHD finger transcription factor,no,YES,no,no,no,no,FALSE,FALSE,FALSE
Brd1,ENSMUSG00000022387,Brd1,bromodomain containing 1,no,YES,no,no,no,no,FALSE,FALSE,FALSE
Brd2,ENSMUSG00000024335,Brd2,bromodomain containing 2,no,YES,no,no,no,YES,FALSE,FALSE,FALSE
Brd3,ENSMUSG00000026918,Brd3,bromodomain containing 3,no,YES,no,no,no,no,FALSE,FALSE,FALSE
Brd4,ENSMUSG00000024002,Brd4,bromodomain containing 4,no,YES,no,no,no,no,FALSE,FALSE,FALSE
Brd7,ENSMUSG00000031660,Brd7,bromodomain containing 7,no,YES,no,no,no,no,FALSE,FALSE,FALSE
Brd9,ENSMUSG00000057649,Brd9,bromodomain containing 9,no,YES,no,no,no,no,FALSE,FALSE,FALSE
Brix1,ENSMUSG00000022247,Brix1,"BRX1, biogenesis of ribosomes",no,no,YES,YES,YES,no,FALSE,FALSE,FALSE
Brpf3,ENSMUSG00000063952,Brpf3,"bromodomain and PHD finger containing, 3",no,YES,no,no,no,no,FALSE,FALSE,FALSE
Bsg,ENSMUSG00000023175,Bsg,basigin,no,no,no,no,YES,no,FALSE,TRUE,FALSE
Btf3,ENSMUSG00000021660,Btf3,basic transcription factor 3,no,no,YES,YES,no,YES,FALSE,FALSE,FALSE
Btf3l4,ENSMUSG00000028568,Btf3l4,basic transcription factor 3-like 4,no,no,YES,no,no,no,FALSE,FALSE,FALSE
Btrc,ENSMUSG00000025217,Btrc,beta-transducin repeat containing protein,no,YES,no,no,no,no,FALSE,FALSE,FALSE
Bysl,ENSMUSG00000023988,Bysl,bystin-like,no,no,YES,YES,YES,no,FALSE,FALSE,FALSE
Bzw1,ENSMUSG00000051223,Bzw1,basic leucine zipper and W2 domains 1,no,no,YES,YES,YES,no,FALSE,FALSE,FALSE
Bzw2,ENSMUSG00000020547,Bzw2,basic leucine zipper and W2 domains 2,no,no,YES,YES,YES,no,FALSE,FALSE,FALSE
C2cd5,ENSMUSG00000030279,C2cd5,C2 calcium-dependent domain containing 5,no,no,no,no,no,YES,FALSE,FALSE,FALSE
Cabin1,ENSMUSG00000020196,Cabin1,calcineurin binding protein 1,no,YES,no,no,no,no,FALSE,FALSE,FALSE
Cactin,ENSMUSG00000034889,Cactin,"cactin, spliceosome C complex subunit",no,no,no,no,YES,no,FALSE,FALSE,FALSE
Cadm1,ENSMUSG00000032076,Cadm1,cell adhesion molecule 1,no,no,no,no,no,YES,FALSE,FALSE,FALSE
Cald1,ENSMUSG00000029761,Cald1,caldesmon 1,no,no,no,no,no,YES,FALSE,FALSE,FALSE
Calm1,ENSMUSG00000001175,Calm1,calmodulin 1,no,YES,no,no,no,no,FALSE,TRUE,FALSE
Calr,ENSMUSG00000003814,Calr,calreticulin,no,no,YES,no,no,no,FALSE,FALSE,FALSE
Canx,ENSMUSG00000020368,Canx,calnexin,no,YES,YES,no,YES,no,FALSE,FALSE,FALSE
Capg,ENSMUSG00000056737,Capg,"capping protein (actin filament), gelsolin-like",no,no,YES,no,no,no,FALSE,FALSE,FALSE
Capn5,ENSMUSG00000035547,Capn5,calpain 5,no,YES,no,no,no,no,FALSE,FALSE,FALSE
Caprin1,ENSMUSG00000027184,Caprin1,cell cycle associated protein 1,YES,no,YES,YES,YES,YES,FALSE,FALSE,FALSE
Caprin2,ENSMUSG00000030309,Caprin2,caprin family member 2,no,no,no,no,YES,no,FALSE,FALSE,FALSE
Capzb,ENSMUSG00000028745,Capzb,"capping protein (actin filament) muscle Z-line, beta",no,no,YES,no,no,no,FALSE,FALSE,FALSE
Car2,ENSMUSG00000027562,Car2,carbonic anhydrase 2,no,no,YES,no,no,no,TRUE,TRUE,TRUE
Cars,ENSMUSG00000010755,Cars,cysteinyl-tRNA synthetase,no,no,no,no,no,YES,TRUE,FALSE,FALSE
Casc3,ENSMUSG00000078676,Casc3,cancer susceptibility candidate 3,no,no,YES,YES,YES,no,FALSE,FALSE,FALSE
Cbx1,ENSMUSG00000018666,Cbx1,chromobox 1,no,YES,no,no,no,no,FALSE,FALSE,FALSE
Cbx3,ENSMUSG00000029836,Cbx3,chromobox 3,no,YES,no,no,no,no,FALSE,FALSE,FALSE
Cbx5,ENSMUSG00000009575,Cbx5,chromobox 5,no,YES,no,no,no,no,FALSE,FALSE,FALSE
Ccar1,ENSMUSG00000020074,Ccar1,cell division cycle and apoptosis regulator 1,no,no,no,no,YES,no,FALSE,FALSE,FALSE
Ccar2,ENSMUSG00000033712,Ccar2,cell cycle activator and apoptosis regulator 2,no,YES,YES,YES,YES,no,FALSE,FALSE,FALSE
Ccdc115,ENSMUSG00000042111,Ccdc115,coiled-coil domain containing 115,no,YES,no,no,no,no,FALSE,FALSE,FALSE
Ccdc12,ENSMUSG00000019659,Ccdc12,coiled-coil domain containing 12,no,YES,no,no,no,no,FALSE,FALSE,FALSE
Ccdc124,ENSMUSG00000007721,Ccdc124,coiled-coil domain containing 124,no,no,YES,no,YES,no,FALSE,FALSE,FALSE
Ccdc137,ENSMUSG00000049957,Ccdc137,coiled-coil domain containing 137,no,no,YES,YES,no,no,FALSE,FALSE,FALSE
