GeneID,TrnID,PepID,GeneName,GeneFamily,UniProtKB_ID,UniProtKB_Gene_Name
ENSG00000156273,ENST00000286800,ENSP00000286800,BACH1,TF_bZIP,O14867,BACH1_HUMAN
ENSG00000112182,ENST00000257749,ENSP00000257749,BACH2,TF_bZIP,Q9BYV9,BACH2_HUMAN
ENSG00000125492,ENST00000263610,ENSP00000263610,BARHL1,Homeobox,Q9BZE3,BARH1_HUMAN
ENSG00000143032,ENST00000370445,ENSP00000359474,BARHL2,Homeobox,Q9NY43,BARH2_HUMAN
ENSG00000131668,ENST00000253968,ENSP00000253968,BARX1,Homeobox,Q9HBU1,BARX1_HUMAN
ENSG00000043039,ENST00000281437,ENSP00000281437,BARX2,Homeobox,Q9UMQ3,BARX2_HUMAN
ENSG00000156127,ENST00000286639,ENSP00000286639,BATF,TF_bZIP,Q16520,BATF_HUMAN
ENSG00000168062,ENST00000301887,ENSP00000301887,BATF2,TF_bZIP,Q8N1L9,BATF2_HUMAN
ENSG00000123685,ENST00000243440,ENSP00000243440,BATF3,TF_bZIP,Q9NR55,BATF3_HUMAN
ENSG00000076108,ENST00000549884,ENSP00000447941,BAZ2A,MBD,Q9UIF9,BAZ2A_HUMAN
ENSG00000123636,ENST00000392783,ENSP00000376534,BAZ2B,MBD,Q9UIF8,BAZ2B_HUMAN
ENSG00000114439,ENST00000325805,ENSP00000319974,BBX,HMG,Q8WY36,BBX_HUMAN
ENSG00000127152,ENST00000357195,ENSP00000349723,BCL11B,zf-C2H2,Q9C0K0,BC11B_HUMAN
ENSG00000113916,ENST00000406870,ENSP00000384371,BCL6,ZBTB,P41182,BCL6_HUMAN
ENSG00000161940,ENST00000293805,ENSP00000293805,BCL6B,ZBTB,Q8N143,BCL6B_HUMAN
ENSG00000029363,ENST00000531224,ENSP00000435210,BCLAF1,TF_others,Q9NYF8,BCLF1_HUMAN
ENSG00000180535,ENST00000609256,ENSP00000476312,BHLHA15,bHLH,Q7RTS1,BHA15_HUMAN
ENSG00000205899,ENST00000391429,ENSP00000375248,BHLHA9,bHLH,Q7RTU4,BHA09_HUMAN
ENSG00000180828,ENST00000321870,ENSP00000318799,BHLHE22,bHLH,Q8NFJ8,BHE22_HUMAN
ENSG00000125533,ENST00000612929,ENSP00000480998,BHLHE23,bHLH,Q8NDY6,BHE23_HUMAN
ENSG00000134107,ENST00000256495,ENSP00000256495,BHLHE40,bHLH,O14503,BHE40_HUMAN
ENSG00000123095,ENST00000242728,ENSP00000242728,BHLHE41,bHLH,Q9C0J9,BHE41_HUMAN
ENSG00000117475,ENST00000367808,ENSP00000356782,BLZF1,TF_others,Q9H2G9,GO45_HUMAN
ENSG00000169594,ENST00000345382,ENSP00000307041,BNC1,zf-C2H2,Q01954,BNC1_HUMAN
ENSG00000173068,ENST00000380672,ENSP00000370047,BNC2,zf-C2H2,Q6ZN30,BNC2_HUMAN
ENSG00000064489,ENST00000514819,ENSP00000454967,BORCS8-MEF2B,SRF,Q96FH0,
ENSG00000188909,ENST00000343035,ENSP00000344285,BSX,Homeobox,Q3C1V8,BSH_HUMAN
ENSG00000171735,ENST00000303635,ENSP00000306522,CAMTA1,CG-1,Q9Y6Y1,CMTA1_HUMAN
ENSG00000108509,ENST00000348066,ENSP00000321813,CAMTA2,CG-1,O94983,CMTA2_HUMAN
ENSG00000103326,ENST00000219611,ENSP00000219611,CAPN15,TF_others,O75808,CAN15_HUMAN
ENSG00000138380,ENST00000438828,ENSP00000414644,CARF,TF_others,Q8N187,CARTF_HUMAN
ENSG00000153048,ENST00000311052,ENSP00000311847,CARHSP1,CSD,Q9Y2V2,CHSP1_HUMAN
ENSG00000130940,ENST00000377022,ENSP00000366221,CASZ1,TF_others,Q86V15,CASZ1_HUMAN
ENSG00000067955,ENST00000412916,ENSP00000415151,CBFB,CBF,Q13951,PEBB_HUMAN
ENSG00000132024,ENST00000318003,ENSP00000313601,CC2D1A,TF_others,Q6P1N0,C2D1A_HUMAN
ENSG00000250709,ENST00000511166,ENSP00000421868,CCDC169-SOHLH2,bHLH,Q9NX45,
ENSG00000115355,ENST00000436346,ENSP00000410608,CCDC88A,TF_bZIP,Q3V6T2,GRDN_HUMAN
ENSG00000096401,ENST00000371477,ENSP00000360532,CDC5L,MYB,Q99459,CDC5L_HUMAN
ENSG00000089486,ENST00000567695,ENSP00000457877,CDIP1,zf-LITAF-like,Q9H305,CDIP1_HUMAN
ENSG00000113722,ENST00000231656,ENSP00000231656,CDX1,Homeobox,P47902,CDX1_HUMAN
ENSG00000165556,ENST00000381020,ENSP00000370408,CDX2,Homeobox,Q99626,CDX2_HUMAN
ENSG00000131264,ENST00000373514,ENSP00000362613,CDX4,Homeobox,O14627,CDX4_HUMAN
ENSG00000245848,ENST00000498907,ENSP00000427514,CEBPA,TF_bZIP,P49715,CEBPA_HUMAN
ENSG00000172216,ENST00000303004,ENSP00000305422,CEBPB,TF_bZIP,P17676,CEBPB_HUMAN
ENSG00000221869,ENST00000408965,ENSP00000386165,CEBPD,TF_bZIP,P49716,CEBPD_HUMAN
ENSG00000092067,ENST00000206513,ENSP00000206513,CEBPE,TF_bZIP,Q15744,CEBPE_HUMAN
ENSG00000153879,ENST00000284000,ENSP00000284000,CEBPG,TF_bZIP,P53567,CEBPG_HUMAN
ENSG00000115816,ENST00000234170,ENSP00000234170,CEBPZ,TF_others,Q03701,CEBPZ_HUMAN
ENSG00000115163,ENST00000335756,ENSP00000336868,CENPA,TF_others,P49450,CENPA_HUMAN
ENSG00000175279,ENST00000309048,ENSP00000308583,CENPS,TF_others,Q8N2Z9,CENPS_HUMAN
ENSG00000102901,ENST00000562787,ENSP00000457810,CENPT,TF_others,Q96BT3,CENPT_HUMAN
ENSG00000169689,ENST00000392359,ENSP00000376168,CENPX,TF_others,A8MT69,CENPX_HUMAN
ENSG00000079432,ENST00000681038,ENSP00000505728,CIC,HMG,Q96RK0,CIC_HUMAN
ENSG00000148337,ENST00000372938,ENSP00000362029,CIZ1,TF_others,Q9ULV3,CIZ1_HUMAN
ENSG00000134852,ENST00000513440,ENSP00000426983,CLOCK,bHLH,O15516,CLOCK_HUMAN
ENSG00000169714,ENST00000422453,ENSP00000410619,CNBP,TF_others,P62633,CNBP_HUMAN
ENSG00000214575,ENST00000684509,ENSP00000507835,CPEB1,TF_others,Q9BZB8,CPEB1_HUMAN
ENSG00000283755,ENST00000640559,ENSP00000491599,CPHXL,Homeobox,A0A1W2PPM1,CPHXL_HUMAN
ENSG00000118260,ENST00000353267,ENSP00000236995,CREB1,TF_bZIP,P16220,CREB1_HUMAN
ENSG00000107175,ENST00000353704,ENSP00000342136,CREB3,TF_bZIP,O43889,CREB3_HUMAN
ENSG00000157613,ENST00000621158,ENSP00000481956,CREB3L1,TF_bZIP,Q96BA8,CR3L1_HUMAN
ENSG00000182158,ENST00000330387,ENSP00000329140,CREB3L2,TF_bZIP,Q70SY1,CR3L2_HUMAN
ENSG00000060566,ENST00000078445,ENSP00000078445,CREB3L3,TF_bZIP,Q68CJ9,CR3L3_HUMAN
ENSG00000143578,ENST00000368607,ENSP00000357596,CREB3L4,TF_bZIP,Q8TEY5,CR3L4_HUMAN
ENSG00000146592,ENST00000357727,ENSP00000350359,CREB5,TF_bZIP,Q02930,CREB5_HUMAN
ENSG00000111269,ENST00000228865,ENSP00000228865,CREBL2,TF_others,O60519,CRBL2_HUMAN
ENSG00000164463,ENST00000296953,ENSP00000296953,CREBRF,TF_others,Q8IUR6,CRERF_HUMAN
ENSG00000137504,ENST00000527447,ENSP00000433459,CREBZF,TF_bZIP,Q9NS37,ZHANG_HUMAN
ENSG00000095794,ENST00000685392,ENSP00000509489,CREM,TF_bZIP,Q03060,CREM_HUMAN
ENSG00000105392,ENST00000221996,ENSP00000221996,CRX,TF_Otx,O43186,CRX_HUMAN
ENSG00000172346,ENST00000306149,ENSP00000302485,CSDC2,CSD,Q9Y534,CSDC2_HUMAN
ENSG00000009307,ENST00000358528,ENSP00000351329,CSDE1,CSD,O75534,CSDE1_HUMAN
ENSG00000144655,ENST00000273153,ENSP00000273153,CSRNP1,CSRNP_N,Q96S65,CSRN1_HUMAN
ENSG00000110925,ENST00000228515,ENSP00000228515,CSRNP2,CSRNP_N,Q9H175,CSRN2_HUMAN
ENSG00000178662,ENST00000651982,ENSP00000498841,CSRNP3,CSRNP_N,Q8WYN3,CSRN3_HUMAN
ENSG00000102974,ENST00000264010,ENSP00000264010,CTCF,zf-C2H2,P49711,CTCF_HUMAN
ENSG00000124092,ENST00000243914,ENSP00000243914,CTCFL,zf-C2H2,Q8NI51,CTCFL_HUMAN
ENSG00000257923,ENST00000292535,ENSP00000292535,CUX1,CUT,P39880,CUX1_HUMAN
ENSG00000111249,ENST00000261726,ENSP00000261726,CUX2,CUT,O14529,CUX2_HUMAN
ENSG00000276644,ENST00000613252,ENSP00000482245,DACH1,DACH,Q9UI36,DACH1_HUMAN
ENSG00000126733,ENST00000373125,ENSP00000362217,DACH2,DACH,Q96NX9,DACH2_HUMAN
ENSG00000105516,ENST00000222122,ENSP00000222122,DBP,TF_bZIP,Q10586,DBP_HUMAN
ENSG00000109851,ENST00000524983,ENSP00000436881,DBX1,Homeobox,A6NMT0,DBX1_HUMAN
ENSG00000185610,ENST00000332700,ENSP00000331470,DBX2,Homeobox,Q6ZNG2,DBX2_HUMAN
ENSG00000175197,ENST00000346473,ENSP00000340671,DDIT3,TF_bZIP,P35638,DT3UO_HUMAN
ENSG00000177030,ENST00000382409,ENSP00000371846,DEAF1,SAND,O75398,DEAF1_HUMAN
ENSG00000144355,ENST00000361725,ENSP00000354478,DLX1,Homeobox,P56177,DLX1_HUMAN
ENSG00000115844,ENST00000234198,ENSP00000234198,DLX2,Homeobox,Q07687,DLX2_HUMAN
ENSG00000064195,ENST00000434704,ENSP00000389870,DLX3,Homeobox,O60479,DLX3_HUMAN
ENSG00000108813,ENST00000240306,ENSP00000240306,DLX4,Homeobox,Q92988,DLX4_HUMAN
ENSG00000105880,ENST00000648378,ENSP00000498116,DLX5,Homeobox,P56178,DLX5_HUMAN
ENSG00000006377,ENST00000518156,ENSP00000428480,DLX6,Homeobox,P56179,DLX6_HUMAN
ENSG00000197587,ENST00000360032,ENSP00000353132,DMBX1,Homeobox,Q8NFW5,DMBX1_HUMAN
ENSG00000137090,ENST00000382276,ENSP00000371711,DMRT1,DM,Q9Y5R6,DMRT1_HUMAN
ENSG00000173253,ENST00000358146,ENSP00000350865,DMRT2,DM,Q9Y5R5,DMRT2_HUMAN
ENSG00000064218,ENST00000190165,ENSP00000190165,DMRT3,DM,Q9NQL9,DMRT3_HUMAN
ENSG00000176399,ENST00000325870,ENSP00000319651,DMRTA1,DM,Q5VZB9,DMRTA_HUMAN
ENSG00000142700,ENST00000404795,ENSP00000383909,DMRTA2,DM,Q96SC8,DMTA2_HUMAN
ENSG00000143006,ENST00000371445,ENSP00000360500,DMRTB1,DM,Q96MA1,DMRTB_HUMAN
ENSG00000269502,ENST00000615063,ENSP00000484718,DMRTC1,TF_others,Q5HYR2,DMRTC_HUMAN
ENSG00000184911,ENST00000334036,ENSP00000334501,DMRTC1B,TF_others,Q5HYR2,DMRTC_HUMAN
ENSG00000142025,ENST00000269945,ENSP00000269945,DMRTC2,DM,Q8IXT2,DMRTD_HUMAN
ENSG00000135164,ENST00000331242,ENSP00000332171,DMTF1,MYB,Q9Y222,DMTF1_HUMAN
ENSG00000136770,ENST00000376980,ENSP00000366179,DNAJC1,MYB,Q96KC8,DNJC1_HUMAN
ENSG00000105821,ENST00000379263,ENSP00000368565,DNAJC2,MYB,Q99543,DNJC2_HUMAN
ENSG00000204595,ENST00000376650,ENSP00000365838,DPRX,Homeobox,A6NFQ7,DPRX_HUMAN
ENSG00000165606,ENST00000374139,ENSP00000363254,DRGX,Homeobox,A6NNA5,DRGX_HUMAN
ENSG00000260596,ENST00000565211,ENSP00000458065,DUX4,Homeobox,Q9UBX2,DUX4_HUMAN
ENSG00000258873,ENST00000554048,ENSP00000452398,DUXA,Homeobox,A6NLW8,DUXA_HUMAN
ENSG00000282757,ENST00000633875,ENSP00000491301,DUXB,Homeobox,A0A1W2PPF3,DUXB_HUMAN
ENSG00000101412,ENST00000343380,ENSP00000345571,E2F1,E2F,Q01094,E2F1_HUMAN
ENSG00000007968,ENST00000361729,ENSP00000355249,E2F2,E2F,Q14209,E2F2_HUMAN
ENSG00000112242,ENST00000346618,ENSP00000262904,E2F3,E2F,O00716,E2F3_HUMAN
ENSG00000205250,ENST00000379378,ENSP00000368686,E2F4,E2F,Q16254,E2F4_HUMAN
ENSG00000133740,ENST00000416274,ENSP00000398124,E2F5,E2F,Q15329,E2F5_HUMAN
ENSG00000169016,ENST00000381525,ENSP00000370936,E2F6,E2F,O75461,E2F6_HUMAN
ENSG00000165891,ENST00000322886,ENSP00000323246,E2F7,E2F,Q96AV8,E2F7_HUMAN
ENSG00000129173,ENST00000250024,ENSP00000250024,E2F8,E2F,A0AVK6,E2F8_HUMAN
ENSG00000167967,ENST00000301727,ENSP00000301727,E4F1,zf-C2H2,Q66K89,E4F1_HUMAN
ENSG00000164330,ENST00000313708,ENSP00000322898,EBF1,COE,Q9UH73,COE1_HUMAN
ENSG00000221818,ENST00000520164,ENSP00000430241,EBF2,COE,Q9HAK2,COE2_HUMAN
ENSG00000108001,ENST00000440978,ENSP00000387543,EBF3,COE,Q9H4W6,COE3_HUMAN
ENSG00000088881,ENST00000609451,ENSP00000477023,EBF4,COE,Q9BQW3,COE4_HUMAN
ENSG00000120738,ENST00000239938,ENSP00000239938,EGR1,zf-C2H2,P18146,EGR1_HUMAN
ENSG00000122877,ENST00000242480,ENSP00000242480,EGR2,zf-C2H2,P11161,EGR2_HUMAN
ENSG00000179388,ENST00000317216,ENSP00000318057,EGR3,zf-C2H2,Q06889,EGR3_HUMAN
ENSG00000135625,ENST00000436467,ENSP00000419687,EGR4,zf-C2H2,Q05215,EGR4_HUMAN
ENSG00000135373,ENST00000257831,ENSP00000257831,EHF,ETS,Q9NZC4,EHF_HUMAN
ENSG00000120690,ENST00000239882,ENSP00000239882,ELF1,ETS,P32519,ELF1_HUMAN
ENSG00000109381,ENST00000686138,ENSP00000510098,ELF2,ETS,Q15723,ELF2_HUMAN
ENSG00000163435,ENST00000367284,ENSP00000356253,ELF3,ETS,P78545,ELF3_HUMAN
ENSG00000102034,ENST00000308167,ENSP00000311280,ELF4,ETS,Q99607,ELF4_HUMAN
ENSG00000135374,ENST00000257832,ENSP00000257832,ELF5,ETS,Q9UKW6,ELF5_HUMAN
ENSG00000126767,ENST00000376983,ENSP00000366182,ELK1,ETS,P19419,ELK1_HUMAN
ENSG00000111145,ENST00000228741,ENSP00000228741,ELK3,ETS,P41970,ELK3_HUMAN
ENSG00000158711,ENST00000357992,ENSP00000350681,ELK4,ETS,P28324,ELK4_HUMAN
ENSG00000135638,ENST00000258106,ENSP00000258106,EMX1,Homeobox,Q04741,EMX1_HUMAN
ENSG00000170370,ENST00000553456,ENSP00000450962,EMX2,Homeobox,Q04743,EMX2_HUMAN
ENSG00000163064,ENST00000295206,ENSP00000295206,EN1,Homeobox,Q05925,HME1_HUMAN
ENSG00000164778,ENST00000297375,ENSP00000297375,EN2,Homeobox,P19622,HME2_HUMAN
ENSG00000163508,ENST00000449599,ENSP00000388620,EOMES,T-box,O95936,EOMES_HUMAN
ENSG00000116016,ENST00000263734,ENSP00000263734,EPAS1,TF_others,Q99814,EPAS1_HUMAN
ENSG00000105722,ENST00000222329,ENSP00000222329,ERF,ETS,P50548,ERF_HUMAN
ENSG00000268041,ENST00000597630,ENSP00000491574,ERFL,ETS,A0A1W2PQ73,ERFL_HUMAN
ENSG00000157554,ENST00000288319,ENSP00000288319,ERG,ETS,P11308,ERG_HUMAN
ENSG00000091831,ENST00000206249,ENSP00000206249,ESR1,ESR-like,P03372,ESR1_HUMAN
ENSG00000140009,ENST00000341099,ENSP00000343925,ESR2,ESR-like,Q92731,ESR2_HUMAN
ENSG00000173153,ENST00000000442,ENSP00000000442,ESRRA,ESR-like,P11474,ERR1_HUMAN
ENSG00000196482,ENST00000408911,ENSP00000386171,ESRRG,ESR-like,P62508,ERR3_HUMAN
ENSG00000123576,ENST00000372588,ENSP00000361669,ESX1,Homeobox,Q8N693,ESX1_HUMAN
ENSG00000134954,ENST00000392668,ENSP00000376436,ETS1,ETS,P14921,ETS1_HUMAN
ENSG00000157557,ENST00000360938,ENSP00000354194,ETS2,ETS,P15036,ETS2_HUMAN
ENSG00000006468,ENST00000430479,ENSP00000405327,ETV1,ETS,P50549,ETV1_HUMAN
ENSG00000105672,ENST00000402764,ENSP00000384524,ETV2,ETS,O00321,ETV2_HUMAN
ENSG00000117036,ENST00000368192,ENSP00000357175,ETV3,ETS,P41162,ETV3_HUMAN
ENSG00000253831,ENST00000454449,ENSP00000430271,ETV3L,ETS,Q6ZN32,ETV3L_HUMAN
ENSG00000175832,ENST00000319349,ENSP00000321835,ETV4,ETS,P43268,ETV4_HUMAN
ENSG00000244405,ENST00000306376,ENSP00000306894,ETV5,ETS,P41161,ETV5_HUMAN
ENSG00000139083,ENST00000396373,ENSP00000379658,ETV6,ETS,P41212,ETV6_HUMAN
ENSG00000010030,ENST00000340181,ENSP00000341843,ETV7,ETS,Q9Y603,ETV7_HUMAN
ENSG00000106038,ENST00000496902,ENSP00000419266,EVX1,Homeobox,P49640,EVX1_HUMAN
ENSG00000174279,ENST00000308618,ENSP00000312385,EVX2,Homeobox,Q03828,EVX2_HUMAN
ENSG00000146618,ENST00000275461,ENSP00000275461,FERD3L,bHLH,Q96RJ6,FER3L_HUMAN
ENSG00000163497,ENST00000295727,ENSP00000295727,FEV,ETS,Q99581,FEV_HUMAN
ENSG00000128610,ENST00000442488,ENSP00000411145,FEZF1,zf-C2H2,A0PJY2,FEZF1_HUMAN
ENSG00000153266,ENST00000283268,ENSP00000283268,FEZF2,zf-C2H2,Q8TBJ5,FEZF2_HUMAN
ENSG00000183733,ENST00000332372,ENSP00000333097,FIGLA,bHLH,Q6QHK4,FIGLA_HUMAN
ENSG00000179943,ENST00000221665,ENSP00000221665,FIZ1,zf-C2H2,Q96SL8,FIZ1_HUMAN
ENSG00000151702,ENST00000527786,ENSP00000433488,FLI1,ETS,Q01543,FLI1_HUMAN
ENSG00000170345,ENST00000303562,ENSP00000306245,FOS,TF_bZIP,P01100,FOS_HUMAN
ENSG00000125740,ENST00000353609,ENSP00000245919,FOSB,TF_bZIP,P53539,FOSB_HUMAN
ENSG00000175592,ENST00000312562,ENSP00000310170,FOSL1,TF_bZIP,P15407,FOSL1_HUMAN
ENSG00000075426,ENST00000264716,ENSP00000264716,FOSL2,TF_bZIP,P15408,FOSL2_HUMAN
ENSG00000129514,ENST00000250448,ENSP00000250448,FOXA1,Fork_head,P55317,FOXA1_HUMAN
ENSG00000125798,ENST00000419308,ENSP00000400341,FOXA2,Fork_head,Q9Y261,FOXA2_HUMAN
ENSG00000170608,ENST00000302177,ENSP00000304004,FOXA3,Fork_head,P55318,FOXA3_HUMAN
ENSG00000171956,ENST00000396057,ENSP00000379369,FOXB1,Fork_head,Q99853,FOXB1_HUMAN
ENSG00000204612,ENST00000376708,ENSP00000365898,FOXB2,Fork_head,Q5VYV0,FOXB2_HUMAN
ENSG00000054598,ENST00000645831,ENSP00000493906,FOXC1,Fork_head,Q12948,FOXC1_HUMAN
ENSG00000176692,ENST00000649859,ENSP00000497759,FOXC2,Fork_head,Q99958,FOXC2_HUMAN
ENSG00000251493,ENST00000615637,ENSP00000481581,FOXD1,Fork_head,Q16676,FOXD1_HUMAN
ENSG00000186564,ENST00000334793,ENSP00000335493,FOXD2,Fork_head,O60548,FOXD2_HUMAN
ENSG00000187140,ENST00000371116,ENSP00000360157,FOXD3,Fork_head,Q9UJU5,FOXD3_HUMAN
ENSG00000170122,ENST00000382500,ENSP00000371940,FOXD4,Fork_head,Q12950,FOXD4_HUMAN
ENSG00000184492,ENST00000306507,ENSP00000302756,FOXD4L1,Fork_head,Q9NU39,FX4L1_HUMAN
ENSG00000187559,ENST00000342833,ENSP00000341961,FOXD4L3,Fork_head,Q6VB84,FX4L3_HUMAN
ENSG00000184659,ENST00000377413,ENSP00000366630,FOXD4L4,Fork_head,Q8WXT5,FX4L4_HUMAN
ENSG00000204779,ENST00000377420,ENSP00000366637,FOXD4L5,Fork_head,Q5VV16,FX4L5_HUMAN
ENSG00000273514,ENST00000622588,ENSP00000484875,FOXD4L6,Fork_head,Q3SYB3,FX4L6_HUMAN
ENSG00000178919,ENST00000375123,ENSP00000364265,FOXE1,Fork_head,O00358,FOXE1_HUMAN
ENSG00000186790,ENST00000335071,ENSP00000334472,FOXE3,Fork_head,Q13461,FOXE3_HUMAN
ENSG00000103241,ENST00000262426,ENSP00000262426,FOXF1,Fork_head,Q12946,FOXF1_HUMAN
ENSG00000137273,ENST00000645481,ENSP00000496415,FOXF2,Fork_head,Q12947,FOXF2_HUMAN
ENSG00000176165,ENST00000313071,ENSP00000339004,FOXG1,Fork_head,P55316,FOXG1_HUMAN
ENSG00000160973,ENST00000377317,ENSP00000366534,FOXH1,Fork_head,O75593,FOXH1_HUMAN
ENSG00000168269,ENST00000306268,ENSP00000304286,FOXI1,Fork_head,Q12951,FOXI1_HUMAN
ENSG00000186766,ENST00000388920,ENSP00000373572,FOXI2,Fork_head,Q6ZQN5,FOXI2_HUMAN
ENSG00000214336,ENST00000428390,ENSP00000478384,FOXI3,Fork_head,A8MTJ6,FOXI3_HUMAN
ENSG00000129654,ENST00000322957,ENSP00000323880,FOXJ1,Fork_head,Q92949,FOXJ1_HUMAN
ENSG00000065970,ENST00000162391,ENSP00000162391,FOXJ2,Fork_head,Q9P0K8,FOXJ2_HUMAN
ENSG00000198815,ENST00000361346,ENSP00000354620,FOXJ3,Fork_head,Q9UPW0,FOXJ3_HUMAN
ENSG00000164916,ENST00000328914,ENSP00000328720,FOXK1,Fork_head,P85037,FOXK1_HUMAN
