EnsenbleProteinID,EnsenbleGeneID,Name,Type,RefSeqGeneID,RefSeqProteinID
ENSP00000226382,ENSG00000109132,PHOX2B,Homeobox,NM_003924,NP_003915
ENSP00000226574,ENSG00000109320,NFKB1,RHD,NM_001382627,NP_001369554; NP_001369555; NP_003989
ENSP00000227163,ENSG00000066336,SPI1,ETS,NM_003120,NP_001074016
ENSP00000228251,ENSG00000060138,YBX3,CSD,NM_001145426,NP_003642
ENSP00000228437,ENSG00000110851,PRDM4,zf-C2H2,NM_012406,NP_036538
ENSP00000228515,ENSG00000110925,CSRNP2,CSRNP_N,NM_030809,NP_110436
ENSP00000228641,ENSG00000111046,MYF6,bHLH,NM_002469,NP_002460
ENSP00000228644,ENSG00000111049,MYF5,bHLH,NM_005593,NP_005584
ENSP00000228682,ENSG00000111087,GLI1,zf-C2H2,NM_005269,NP_005260
ENSP00000228741,ENSG00000111145,ELK3,ETS,NM_005230,NP_005221
ENSP00000228865,ENSG00000111269,CREBL2,TF_others,,NP_001301
ENSP00000229307,ENSG00000111704,NANOG,Homeobox,,NP_079141
ENSP00000229771,ENSG00000112041,TULP1,Tub,NM_001289395,NP_003313
ENSP00000230122,ENSG00000112365,ZBTB24,ZBTB,NM_014797,NP_055612
ENSP00000230658,ENSG00000016082,ISL1,Homeobox,NM_002202,NP_002193
ENSP00000230732,ENSG00000091010,POU4F3,Pou,NM_002700,
ENSP00000231121,ENSG00000113196,HAND1,bHLH,NM_004821,NP_004812
ENSP00000231656,ENSG00000113722,CDX1,Homeobox,NM_001804,NP_001795
ENSP00000231751,ENSG00000012223,LTF,TF_others,NM_002343,NP_002334
ENSP00000232424,ENSG00000114315,HES1,bHLH,NM_005524,NP_005515
ENSP00000232974,ENSG00000114853,ZBTB47,ZBTB,NM_145166,NP_660149
ENSP00000233638,ENSG00000115297,TLX2,Homeobox,,NP_057254
ENSP00000234091,ENSG00000115738,ID2,bHLH,,NP_002157
ENSP00000234170,ENSG00000115816,CEBPZ,TF_others,NM_005760,NP_005751
ENSP00000234198,ENSG00000115844,DLX2,Homeobox,NM_004405,NP_004396
ENSP00000234313,ENSG00000115956,PLEK,TF_others,NM_002664,NP_002655
ENSP00000234392,ENSG00000116035,VAX2,Homeobox,NM_012476,NP_036608
ENSP00000235372,ENSG00000116731,PRDM2,zf-C2H2,,NP_036363
ENSP00000238558,ENSG00000133937,GSC,Homeobox,NM_173849,NP_776248
ENSP00000239144,ENSG00000120068,HOXB8,Homeobox,,NP_076921
ENSP00000239151,ENSG00000120075,HOXB5,Homeobox,NM_002147,NP_002138
ENSP00000239165,ENSG00000260027,HOXB7,Homeobox,NM_004502,NP_004493
ENSP00000239243,ENSG00000120149,MSX2,Homeobox,NM_002449,NP_002440
ENSP00000239461,ENSG00000116132,PRRX1,Homeobox,,NP_073207
ENSP00000239882,ENSG00000120690,ELF1,ETS,,NP_001357259; NP_001357260; NP_001357258; NP_001357261; NP_758961
ENSP00000239938,ENSG00000120738,EGR1,zf-C2H2,NM_001964,NP_001955
ENSP00000240055,ENSG00000120837,NFYB,NF-YB,NM_006166,NP_006157
ENSP00000240306,ENSG00000108813,DLX4,Homeobox,,NP_612138
ENSP00000240328,ENSG00000121068,TBX2,T-box,NM_005994,NP_005985
ENSP00000240499,ENSG00000131127,ZNF141,zf-C2H2,NM_001348277,NP_001335206; NP_003432
ENSP00000240587,ENSG00000121297,TSHZ3,zf-C2H2,,NP_065907
ENSP00000241651,ENSG00000122180,MYOG,bHLH,NM_002479,NP_002470
ENSP00000242057,ENSG00000106546,AHR,bHLH,,NP_001612
ENSP00000242159,ENSG00000122592,HOXA7,Homeobox,NM_006896,NP_008827
ENSP00000242261,ENSG00000122691,TWIST1,bHLH,,NP_000465
ENSP00000242462,ENSG00000122859,NEUROG3,bHLH,NM_020999,NP_066279
ENSP00000242480,ENSG00000122877,EGR2,zf-C2H2,,NP_000390; NP_001129650; NP_001129649
ENSP00000242728,ENSG00000123095,BHLHE41,bHLH,NM_030762,NP_110389
ENSP00000242804,ENSG00000198342,ZNF442,zf-C2H2,NM_030824,NP_110451
ENSP00000242994,ENSG00000123307,NEUROD4,bHLH,NM_021191,NP_067014
ENSP00000243056,ENSG00000123364,HOXC13,Homeobox,NM_017410,NP_059106
ENSP00000243103,ENSG00000123407,HOXC12,Homeobox,NM_173860,NP_776272
ENSP00000243108,ENSG00000197757,HOXC6,Homeobox,,NP_004494
ENSP00000243440,ENSG00000123685,BATF3,TF_bZIP,,NP_061134
ENSP00000243643,ENSG00000170954,ZNF415,zf-C2H2,,NP_001339075; NP_001339068; NP_001339076; NP_001339078; NP_060825
ENSP00000243644,ENSG00000256683,ZNF350,zf-C2H2,NM_021632,NP_067645
ENSP00000244050,ENSG00000124216,SNAI1,zf-C2H2,NM_005985,NP_005976
ENSP00000244576,ENSG00000124613,ZNF391,zf-C2H2,,NP_001070249; NP_001309222; NP_001309218; NP_001309217
ENSP00000244745,ENSG00000124766,SOX4,HMG,NM_003107,NP_003098
ENSP00000245414,ENSG00000125347,IRF1,IRF,,NP_002189
ENSP00000245479,ENSG00000125398,SOX9,HMG,NM_000346,NP_000337
ENSP00000245663,ENSG00000130584,ZBTB46,ZBTB,NM_001369741,NP_001356670
ENSP00000245919,ENSG00000125740,FOSB,TF_bZIP,,NP_006723
ENSP00000246080,ENSG00000125878,TCF15,bHLH,NM_004609,NP_004600
ENSP00000246104,ENSG00000215397,SCRT2,zf-C2H2,NM_033129,NP_149120
ENSP00000246229,ENSG00000126003,PLAGL2,zf-C2H2,NM_002657,NP_002648
ENSP00000246672,ENSG00000126368,NR1D1,THR-like,NM_021724,NP_068370
ENSP00000246912,ENSG00000108788,MLX,bHLH,NM_198204,NP_733752
ENSP00000247161,ENSG00000126767,ELK1,ETS,NM_005229,NP_005220
ENSP00000247182,ENSG00000126778,SIX1,Homeobox,NM_005982,
ENSP00000247843,ENSG00000127337,YEATS4,TF_others,NM_006530,NP_006521
ENSP00000247930,ENSG00000196453,ZNF777,zf-C2H2,NM_015694,NP_056509
ENSP00000247956,ENSG00000130803,ZNF317,zf-C2H2,NM_001190791,NP_065984
ENSP00000248071,ENSG00000127528,KLF2,zf-C2H2,NM_016270,NP_057354
ENSP00000248211,ENSG00000256223,ZNF10,zf-C2H2,,NP_056209
ENSP00000249499,ENSG00000128709,HOXD9,Homeobox,NM_014213,NP_055028
ENSP00000249501,ENSG00000128710,HOXD10,Homeobox,,NP_002139
ENSP00000249504,ENSG00000128713,HOXD11,Homeobox,,NP_067015
ENSP00000249861,ENSG00000129028,THAP10,THAP,NM_020147,NP_064532
ENSP00000249910,ENSG00000129071,MBD4,MBD,NM_001276270,NP_003916
ENSP00000250003,ENSG00000129152,MYOD1,bHLH,NM_002478,NP_002469
ENSP00000250076,ENSG00000167840,ZNF232,zf-C2H2,NM_001320952,NP_001307883; NP_055334; NP_001307882; NP_001307884
ENSP00000250448,ENSG00000129514,FOXA1,Fork_head,NM_004496,NP_004487
ENSP00000251020,ENSG00000103449,SALL1,zf-C2H2,NM_002968,NP_002959
ENSP00000251203,ENSG00000105717,PBX4,Homeobox,,NP_079521
ENSP00000251808,ENSG00000083307,GRHL2,CP2,,
ENSP00000252797,ENSG00000169951,ZNF764,zf-C2H2,NM_033410,NP_219363
ENSP00000252818,ENSG00000130522,JUND,TF_bZIP,NM_005354,NP_001273897; NP_005345
ENSP00000252840,ENSG00000130544,ZNF557,zf-C2H2,NM_024341,NP_001037852; NP_077317
ENSP00000252971,ENSG00000130675,MNX1,Homeobox,,NP_005506
ENSP00000252997,ENSG00000130700,GATA5,zf-GATA,NM_080473,NP_536721
ENSP00000253008,ENSG00000130711,PRDM12,zf-C2H2,NM_021619,NP_067632
ENSP00000253115,ENSG00000130818,ZNF426,zf-C2H2,NM_001318055,NP_001304984; NP_077011
ENSP00000253144,ENSG00000130844,ZNF331,zf-C2H2,,NP_001304049; NP_061025
ENSP00000253727,ENSG00000131408,NR1H2,THR-like,,NP_009052
ENSP00000253968,ENSG00000131668,BARX1,Homeobox,NM_021570,NP_067545
ENSP00000254166,ENSG00000131849,ZNF132,zf-C2H2,NM_003433,NP_003424
ENSP00000254227,ENSG00000131910,NR0B2,Miscellaneous,NM_021969,NP_068804
ENSP00000254250,ENSG00000131931,THAP1,THAP,NM_018105,NP_060575
ENSP00000254325,ENSG00000132005,RFX1,RFX,NM_002918,NP_002909
ENSP00000254480,ENSG00000173473,SMARCC1,MYB,NM_003074,NP_003065
ENSP00000254942,ENSG00000132604,TERF2,MYB,NM_005652,NP_005643
ENSP00000255198,ENSG00000132846,ZBED3,zf-BED,NM_001329564,NP_001316493; NP_115743
ENSP00000256429,ENSG00000134046,MBD2,MBD,NM_003927,NP_003918
ENSP00000256495,ENSG00000134107,BHLHE40,bHLH,,NP_003661
ENSP00000257566,ENSG00000135111,TBX3,T-box,NM_005996,NP_057653
ENSP00000257749,ENSG00000112182,BACH2,TF_bZIP,NM_021813,NP_068585
ENSP00000257915,ENSG00000135457,TFCP2,CP2,NM_005653,NP_001166923; NP_005644
ENSP00000258106,ENSG00000135638,EMX1,Homeobox,,NP_004088
ENSP00000258381,ENSG00000135899,SP110,SAND,NM_001378444,NP_536349; NP_001365373
ENSP00000258829,ENSG00000136327,NKX2-8,Homeobox,NM_014360,NP_055175
ENSP00000259803,ENSG00000137270,GCM1,GCM,NM_003643,NP_003634
ENSP00000259806,ENSG00000137273,FOXF2,Fork_head,NM_001452,
ENSP00000259915,ENSG00000204531,POU5F1,Pou,NM_002701,NP_002692
ENSP00000260045,ENSG00000137492,THAP12,THAP,,NP_004696
ENSP00000260264,ENSG00000137709,POU2F3,Pou,NM_001244682,NP_001231611
ENSP00000260643,ENSG00000138073,PREB,TF_others,,NP_001317415; NP_037520; NP_001317413
ENSP00000260653,ENSG00000138083,SIX3,Homeobox,NM_005413,NP_005404
ENSP00000261332,ENSG00000172466,ZNF24,zf-C2H2,NM_001375815,NP_001362744; NP_008896
ENSP00000261438,ENSG00000109787,KLF3,zf-C2H2,NM_016531,NP_057615
ENSP00000261523,ENSG00000069667,RORA,THR-like,NM_134261,NP_599022
ENSP00000261560,ENSG00000118620,ZNF430,zf-C2H2,NM_025189,NP_079465; NP_001166142
ENSP00000261726,ENSG00000111249,CUX2,CUT,NM_015267,NP_056082; NP_001357527
ENSP00000261731,ENSG00000089116,LHX5,Homeobox,NM_022363,NP_071758
ENSP00000261980,ENSG00000119614,VSX2,Homeobox,NM_182894,NP_878314
ENSP00000262041,ENSG00000106511,MEOX2,Homeobox,NM_005924,NP_005915
ENSP00000262053,ENSG00000123268,ATF1,TF_bZIP,,NP_005162
ENSP00000262158,ENSG00000101665,SMAD7,MH1,NM_005904,NP_005895
ENSP00000262160,ENSG00000175387,SMAD2,MH1,NM_005901,NP_005892
ENSP00000262189,ENSG00000055609,KMT2C,HMG,,NP_733751
ENSP00000262198,ENSG00000101544,ADNP2,TF_others,NM_014913,NP_055728
ENSP00000262238,ENSG00000100811,YY1,zf-C2H2,,NP_003394
ENSP00000262241,ENSG00000089902,RCOR1,MYB,NM_015156,NP_055971
ENSP00000262259,ENSG00000105497,ZNF175,zf-C2H2,NM_007147,NP_009078
ENSP00000262366,ENSG00000126603,GLIS2,zf-C2H2,NM_001318918,NP_001305847
ENSP00000262426,ENSG00000103241,FOXF1,Fork_head,NM_001451,NP_001442
ENSP00000262525,ENSG00000102870,ZNF629,zf-C2H2,NM_001080417,NP_001073886; NP_001332899
ENSP00000262894,ENSG00000256294,ZNF225,zf-C2H2,,NP_001308614; NP_037494
ENSP00000262904,ENSG00000112242,E2F3,E2F,NM_001949,NP_001940
ENSP00000262971,ENSG00000105229,PIAS4,zf-MIZ,NM_015897,NP_056981
ENSP00000263095,ENSG00000083844,ZNF264,zf-C2H2,NM_003417,NP_003408
ENSP00000263549,ENSG00000059378,PARP12,TF_others,NM_022750,NP_073587
ENSP00000263610,ENSG00000125492,BARHL1,Homeobox,NM_020064,NP_064448
ENSP00000263620,ENSG00000116017,ARID3A,ARID,,NP_005215
ENSP00000263707,ENSG00000115112,TFCP2L1,CP2,NM_014553,NP_055368
ENSP00000263726,ENSG00000121454,LHX4,Homeobox,NM_033343,NP_203129
ENSP00000263734,ENSG00000116016,EPAS1,TF_others,,NP_001421
ENSP00000264010,ENSG00000102974,CTCF,zf-C2H2,NM_006565,NP_006556
ENSP00000264110,ENSG00000115966,ATF2,TF_bZIP,NM_001880,NP_001871; NP_001243019
ENSP00000264183,ENSG00000054267,ARID4B,ARID,,NP_057458
ENSP00000264444,ENSG00000059728,MXD1,bHLH,,NP_001189442; NP_002348
ENSP00000264657,ENSG00000168610,STAT3,STAT,NM_001384992,NP_001371914; NP_001371921; NP_644805; NP_001356441; NP_001356442
ENSP00000264716,ENSG00000075426,FOSL2,TF_bZIP,,NP_005244
ENSP00000264731,ENSG00000073282,TP63,P53,,NP_003713; NP_001316893
ENSP00000264808,ENSG00000138738,PRDM5,zf-C2H2,,NP_061169; NP_001366033
ENSP00000264824,ENSG00000104903,LYL1,bHLH,NM_005583,NP_005574
ENSP00000264834,ENSG00000105610,KLF1,zf-C2H2,NM_006563,NP_006554
ENSP00000265007,ENSG00000039600,SOX30,HMG,NM_007017,NP_848511
ENSP00000265165,ENSG00000138795,LEF1,HMG,NM_001130714,NP_057353
ENSP00000265340,ENSG00000069011,PITX1,Homeobox,NM_002653,NP_002644
ENSP00000265343,ENSG00000072364,AFF4,AF-4,NM_014423,NP_055238
ENSP00000265354,ENSG00000112658,SRF,SRF,NM_003131,NP_003122; NP_001278930
ENSP00000265440,ENSG00000105967,TFEC,bHLH,NM_012252,NP_036384
ENSP00000266068,ENSG00000101216,GMEB2,SAND,,XP_005260259; XP_011527081; XP_006723839; NP_036516
ENSP00000266077,ENSG00000125520,SLC2A4RG,TF_others,NM_020062,NP_064446
ENSP00000266269,ENSG00000100105,PATZ1,ZBTB,NM_014323,NP_055138
ENSP00000266304,ENSG00000167074,TEF,TF_bZIP,NM_001145398,NP_003207
ENSP00000266503,ENSG00000029153,ARNTL2,bHLH,,NP_064568
ENSP00000266744,ENSG00000139352,ASCL1,bHLH,NM_004316,NP_004307
ENSP00000267294,ENSG00000139800,ZIC5,zf-C2H2,NM_033132,NP_149123
ENSP00000267569,ENSG00000140044,JDP2,TF_bZIP,NM_001135047,NP_001128521
ENSP00000267807,ENSG00000137871,ZNF280D,TF_others,,NP_001275517; NP_060131
ENSP00000268154,ENSG00000140548,ZNF710,zf-C2H2,NM_198526,NP_940928
ENSP00000268489,ENSG00000140836,ZFHX3,Homeobox,NM_006885,NP_008816
ENSP00000268638,ENSG00000140968,IRF8,IRF,NM_002163,NP_001350836; NP_002154
ENSP00000268712,ENSG00000141027,NCOR1,MYB,NM_006311,NP_006302
ENSP00000269216,ENSG00000141448,GATA6,zf-GATA,NM_005257,NP_005248
ENSP00000269394,ENSG00000141579,ZNF750,TF_others,NM_024702,NP_078978
ENSP00000269834,ENSG00000141946,ZIM3,zf-C2H2,NM_052882,NP_443114
ENSP00000269973,ENSG00000124459,ZNF45,zf-C2H2,NM_003425,NP_003416
ENSP00000270001,ENSG00000142065,ZFP14,zf-C2H2,NM_020917,NP_001284548; NP_065968
ENSP00000270649,ENSG00000142556,ZNF614,zf-C2H2,,NP_079316
ENSP00000270722,ENSG00000142611,PRDM16,zf-C2H2,,NP_071397
ENSP00000271555,ENSG00000116604,MEF2D,SRF,,NP_005911
ENSP00000271640,ENSG00000143379,SETDB1,MBD,,NP_001353347; NP_001353346; NP_001138887
ENSP00000272223,ENSG00000143867,OSR1,zf-C2H2,NM_145260,NP_660303
ENSP00000272937,ENSG00000144485,HES6,bHLH,NM_018645,NP_061115
ENSP00000273153,ENSG00000144655,CSRNP1,CSRNP_N,NM_033027,NP_149016; NP_001307488
ENSP00000275423,ENSG00000146587,RBAK,zf-C2H2,,NP_001191385; NP_066986; 
ENSP00000275461,ENSG00000146618,FERD3L,bHLH,NM_152898,NP_690862
ENSP00000276480,ENSG00000147488,ST18,zf-C2HC,NM_001352871,NP_001339762; NP_001339763; NP_001339779; NP_001339782; NP_001339785; NP_001339792; NP_001339802; NP_001339806; NP_001339759; NP_001339765; NP_001339766; NP_001339774; NP_001339783; NP_001339800; NP_001339780; NP_001339784; NP_001339793; NP_001339796; NP_001339804; NP_001339805; NP_055497; NP_001339756; NP_001339757; NP_001339761; NP_001339776; NP_001339755; NP_001339768; NP_001339770; NP_001339775; NP_001339781; NP_001339786; NP_001339789; NP_001339803; NP_001339807; NP_001339760; NP_001339769; NP_001339773; NP_001339790; NP_001339791; NP_001339798; NP_001339801; NP_001339758; NP_001339777; NP_001339778; NP_001339794; NP_001339797; NP_001339764; NP_001339767; NP_001339771; NP_001339772; NP_001339787; NP_001339788; NP_001339795; NP_001339799
ENSP00000276594,ENSG00000147596,PRDM14,zf-C2H2,NM_024504,NP_078780
ENSP00000276603,ENSG00000147601,TERF1,MYB,,NP_059523
ENSP00000276816,ENSG00000170631,ZNF16,zf-C2H2,NM_006958,NP_001025147
ENSP00000278314,ENSG00000149050,ZNF214,zf-C2H2,NM_001354832,NP_001341762; NP_001341761; NP_037381
ENSP00000278319,ENSG00000149054,ZNF215,zf-C2H2,,NP_001341786; NP_001341788; NP_001341785; NP_001341787; NP_001341789; NP_037382; NP_001341784; NP_001341782
ENSP00000278412,ENSG00000149136,SSRP1,HMG,,NP_003137
ENSP00000278780,ENSG00000125850,OVOL2,zf-C2H2,,NP_067043
ENSP00000278823,ENSG00000149480,MTA2,zf-GATA,NM_004739,NP_004730
ENSP00000278836,ENSG00000124920,MYRF,NDT80/PhoG,NM_001127392,NP_001120864
ENSP00000279873,ENSG00000150347,ARID5B,ARID,,NP_115575
ENSP00000280696,ENSG00000151090,THRB,THR-like,NM_001354714,XP_024309503; NP_001121649; XP_024309505; NP_001341638; NP_001361755; XP_011532349; XP_011532352; XP_016862600; ; NP_001239563; NP_001361754; XP_016862598; NP_001341637; NP_001341643; NP_001341644; NP_001361753; XP_006713381; XP_011532355; XP_024309504; NP_001341639; NP_001341642; NP_001361752; NP_001361756; XP_024309506; XP_011532354; XP_016862602; XP_024309502; NP_001121648; NP_001341640; NP_001341641; NP_001361751; XP_024309501; NP_000452
ENSP00000281043,ENSG00000134323,MYCN,bHLH,NM_001293228,NP_005369; NP_001280157
ENSP00000281047,ENSG00000151379,MSGN1,bHLH,NM_001105569,NP_001099039
ENSP00000281321,ENSG00000151615,POU4F2,Pou,NM_004575,NP_004566
ENSP00000281437,ENSG00000043039,BARX2,Homeobox,NM_003658,NP_003649
ENSP00000282030,ENSG00000152217,SETBP1,TF_others,NM_001130110,
ENSP00000282111,ENSG00000152284,TCF7L1,HMG,NM_031283,NP_112573
ENSP00000282282,ENSG00000152433,ZNF547,zf-C2H2,,NP_775902
ENSP00000282292,ENSG00000152439,ZNF773,zf-C2H2,NM_001304337,NP_940944
ENSP00000282296,ENSG00000204519,ZNF551,zf-C2H2,NM_001270938,NP_612356
ENSP00000282308,ENSG00000152454,ZNF256,zf-C2H2,NM_001375403,NP_001362332; NP_005764
ENSP00000282326,ENSG00000152467,ZSCAN1,zf-C2H2,,NP_872378
ENSP00000282388,ENSG00000152518,ZFP36L2,zf-CCCH,NM_006887,NP_008818
ENSP00000282728,ENSG00000152804,HHEX,Homeobox,NM_002729,NP_002720
ENSP00000282869,ENSG00000152926,ZNF117,zf-C2H2,NM_015852,NP_056936
ENSP00000282928,ENSG00000152977,ZIC1,zf-C2H2,,NP_003403
ENSP00000283629,ENSG00000153560,UBP1,CP2,NM_001128161,NP_055332; NP_001121633
ENSP00000283921,ENSG00000253293,HOXA10,Homeobox,,NP_061824
ENSP00000283928,ENSG00000153814,JAZF1,zf-C2H2,,NP_778231
ENSP00000284000,ENSG00000153879,CEBPG,TF_bZIP,NM_001806,NP_001797
ENSP00000285407,ENSG00000155090,KLF10,zf-C2H2,NM_005655,NP_005646
ENSP00000286639,ENSG00000156127,BATF,TF_bZIP,,NP_006390
ENSP00000286800,ENSG00000156273,BACH1,TF_bZIP,,NP_001177
ENSP00000287461,ENSG00000156853,ZNF689,zf-C2H2,NM_138447,NP_612456
ENSP00000287538,ENSG00000156925,ZIC3,zf-C2H2,NM_003413,NP_003404
ENSP00000287820,ENSG00000132170,PPARG,THR-like,NM_001354666,NP_056953
ENSP00000287957,ENSG00000157259,GATAD1,TF_others,NM_021167,NP_066990
ENSP00000288177,ENSG00000157429,ZNF19,zf-C2H2,,NP_008892
ENSP00000288840,ENSG00000137834,SMAD6,MH1,NM_005585,NP_005576
ENSP00000288955,ENSG00000158055,GRHL3,CP2,NM_198173,NP_937817
ENSP00000289788,ENSG00000187987,ZSCAN23,zf-C2H2,,NP_001012458
ENSP00000290295,ENSG00000159184,HOXB13,Homeobox,NM_006361,NP_006352
ENSP00000290399,ENSG00000159263,SIM2,bHLH,NM_005069,NP_005060; NP_033664
ENSP00000290524,ENSG00000143390,RFX5,RFX,NM_000449,NP_001366345; NP_001366342; NP_001366343; NP_000440; NP_001366344
ENSP00000290552,ENSG00000159387,IRX6,Homeobox,NM_024335,NP_077311
ENSP00000290759,ENSG00000159556,ISL2,Homeobox,NM_145805,NP_665804
ENSP00000290795,ENSG00000159592,GPBP1L1,TF_others,,NP_067652; XP_016857508; XP_024304576; XP_024304578; XP_024304577; XP_024304574; 
ENSP00000291182,ENSG00000159917,ZNF235,zf-C2H2,,NP_004225
ENSP00000291442,ENSG00000160113,NR2F6,RXR-like,NM_005234,NP_005225
ENSP00000291547,ENSG00000160199,PKNOX1,Homeobox,NM_001286258,NP_004562; NP_001307623
ENSP00000291582,ENSG00000160224,AIRE,SAND,,NP_000374
ENSP00000292450,ENSG00000166529,ZSCAN21,zf-C2H2,NM_001362781,NP_001349708; NP_001349709; NP_666019
ENSP00000292530,ENSG00000160961,ZNF333,zf-C2H2,,NP_001339172; NP_115809; NP_001339168; NP_001339173; NP_001339169; NP_001339170
ENSP00000292562,ENSG00000198169,ZNF251,zf-C2H2,,NP_612376
ENSP00000292579,ENSG00000196150,ZNF250,zf-C2H2,,NP_001350028; NP_066405; NP_001350027; NP_001350033
ENSP00000292841,ENSG00000196967,ZNF585A,zf-C2H2,,NP_001275729
ENSP00000292894,ENSG00000161277,THAP8,THAP,NM_001331103,NP_001318032; NP_001318031; NP_001318033; NP_689871
ENSP00000292928,ENSG00000161298,ZNF382,zf-C2H2,,NP_116214
ENSP00000293328,ENSG00000173757,STAT5B,STAT,NM_012448,NP_036580
ENSP00000293471,ENSG00000176024,ZNF613,zf-C2H2,,NP_001026891
ENSP00000293725,ENSG00000188868,ZNF563,zf-C2H2,NM_145276,NP_660319
ENSP00000293771,ENSG00000161914,ZNF653,zf-C2H2,,NP_620138
ENSP00000293805,ENSG00000161940,BCL6B,ZBTB,NM_181844,NP_862827
ENSP00000293894,ENSG00000005513,SOX8,HMG,NM_014587,NP_055402
ENSP00000294409,ENSG00000162419,GMEB1,SAND,NM_001319674,NP_006573
ENSP00000294638,ENSG00000162624,LHX8,Homeobox,NM_001001933,NP_001001933
ENSP00000294740,ENSG00000162702,ZNF281,zf-C2H2,,NP_036614; NP_001268223; NP_001268222
ENSP00000294753,ENSG00000162714,ZNF496,zf-C2H2,,NP_116141; NP_001316662
ENSP00000295025,ENSG00000162924,REL,RHD,NM_002908,NP_002899
ENSP00000295108,ENSG00000162992,NEUROD1,bHLH,,NP_002491
ENSP00000295206,ENSG00000163064,EN1,Homeobox,NM_001426,NP_001417
ENSP00000295208,ENSG00000144026,ZNF514,zf-C2H2,,NP_116177; NP_001304934
