pID,start,stop,max_Z,mean_Z,prot_name
A6NHJ4,66,132,4.71413808,4.458326602,ZN860_HUMAN
P17010,296,360,4.91062157,4.587343963,ZFX_HUMAN
Q9NPG3,120,184,5.73891071,5.073949646,UBN1_HUMAN
P41161,445,511,5.53963853,5.112434601,ETV5_HUMAN
Q49AA0,34,98,4.95182403,4.648872441,ZFP69_HUMAN
Q96K83,31,93,4.44834408,4.324721058,ZN521_HUMAN
Q7Z591,29,93,4.87249861,4.476678099,AKNA_HUMAN
Q7KZ85,638,708,6.09970856,5.174611354,SPT6H_HUMAN
Q7KZ85,1056,1129,6.02989463,5.19649272,SPT6H_HUMAN
Q7KZ85,1165,1245,5.6992518,4.923735342,SPT6H_HUMAN
P17040,646,714,5.25470963,4.783496664,ZSC20_HUMAN
P56693,247,327,5.83542737,5.25740632,SOX10_HUMAN
Q9HCE3,1,63,5.94966716,5.472268507,ZN532_HUMAN
P10244,276,362,5.62410032,4.659528122,MYBB_HUMAN
P13349,1,62,5.56744434,5.011085848,MYF5_HUMAN
P29375,1425,1496,4.52094697,4.375000525,KDM5A_HUMAN
O95600,30,99,5.85975514,5.091650878,KLF8_HUMAN
Q9NZV7,135,199,5.21127773,4.875997474,ZIM2_HUMAN
Q6NSZ9,208,269,4.31088308,4.208974493,ZSC25_HUMAN
Q09472,1070,1127,4.36626397,4.237838456,EP300_HUMAN
P42224,689,751,4.65801003,4.408376438,STAT1_HUMAN
Q7Z3I7,62,126,4.7279821,4.442347147,ZN572_HUMAN
Q12766,415,473,4.35327611,4.258065295,HMGX3_HUMAN
Q08050,548,607,4.66417551,4.42661898,FOXM1_HUMAN
Q08050,643,701,4.24765907,4.179202,FOXM1_HUMAN
Q9H6I2,203,266,4.43700621,4.280848493,SOX17_HUMAN
Q96JG9,642,700,4.10563863,4.07881723,ZN469_HUMAN
Q96JG9,814,883,5.1010136,4.670175643,ZN469_HUMAN
Q96JG9,1425,1503,5.02917271,4.613282425,ZN469_HUMAN
P17097,82,143,5.05949361,4.611360379,ZNF7_HUMAN
Q68EA5,1,65,5.6762563,5.076565869,ZNF57_HUMAN
Q9BYN7,1,59,5.85926946,5.14979207,ZN341_HUMAN
O15060,250,343,5.20564288,4.419202906,ZBT39_HUMAN
Q86T24,608,673,6.14656364,5.197810091,KAISO_HUMAN
Q9H2S9,19,94,5.08957337,4.713586463,IKZF4_HUMAN
Q9UDV7,183,259,5.19145163,4.632974292,ZN282_HUMAN
Q9UDV7,326,395,5.18945756,4.735013216,ZN282_HUMAN
Q16514,40,98,4.68714559,4.39261681,TAF12_HUMAN
Q14872,321,392,6.23495312,5.264895653,MTF1_HUMAN
Q8IUX7,8,85,5.77868871,5.357828271,AEBP1_HUMAN
Q8IUX7,1053,1134,4.9547554,4.477913599,AEBP1_HUMAN
O15370,250,316,5.6206997,4.756894245,SOX12_HUMAN
Q15911,883,940,4.45932949,4.292350186,ZFHX3_HUMAN
Q8N108,18,91,5.06634069,4.597544586,MIER1_HUMAN
P15621,13,76,5.67910131,4.928411124,ZNF44_HUMAN
Q9NPC7,189,254,4.83609599,4.453152395,MYNN_HUMAN
P51815,229,295,5.37720546,4.844312216,ZN75D_HUMAN
Q8IXQ3,118,195,4.67549639,4.501814491,C9orf40_HUMAN
Q12778,330,387,4.42568738,4.284761514,FOXO1_HUMAN
Q9BW11,148,207,4.65903966,4.417467629,MAD3_HUMAN
Q08AG5,1,58,4.8310546,4.570867524,ZN844_HUMAN
O95238,17,102,5.51475336,5.09615864,SPDEF_HUMAN
P63272,20,78,4.56093579,4.383904342,SPT4H_HUMAN
Q9NQX6,1,68,5.38449624,4.978531065,ZN331_HUMAN
O43309,93,153,4.75107397,4.464784854,ZSC12_HUMAN
O60381,151,210,4.66732411,4.390276506,HBP1_HUMAN
O60381,221,295,5.01688583,4.618330301,HBP1_HUMAN
O60381,308,370,4.65056873,4.502183264,HBP1_HUMAN
P40763,710,771,5.85282236,5.388654626,STAT3_HUMAN
Q9H2C1,257,322,5.48656227,4.881238305,LHX5_HUMAN
P17676,72,131,4.83344299,4.523321904,CEBPB_HUMAN
Q8TCN5,263,326,4.93860448,4.643223141,ZN507_HUMAN
Q8TCN5,321,386,5.53541976,4.900564257,ZN507_HUMAN
Q12800,1,68,5.72423347,5.110257679,TFCP2_HUMAN
Q9Y6Y1,1454,1531,6.22612236,5.269257799,CMTA1_HUMAN
P10242,354,420,4.61034828,4.385799812,MYB_HUMAN
Q14202,1,61,5.48955428,4.91992156,ZMYM3_HUMAN
P10071,1047,1142,5.53886172,5.006213286,GLI3_HUMAN
P10071,1457,1537,5.72988956,5.058117855,GLI3_HUMAN
Q9H582,218,288,5.6789204,4.897089588,ZN644_HUMAN
Q9H582,1105,1166,4.7749426,4.534965852,ZN644_HUMAN
Q7Z3K6,157,231,5.82486,4.863786399,MIER3_HUMAN
Q9BR39,1,58,4.23547375,4.10576096,JPH2_HUMAN
O75132,46,106,4.74348788,4.40232036,ZBED4_HUMAN
Q9UKL0,152,214,5.13341374,4.740090589,RCOR1_HUMAN
A6NI15,1,63,5.6648823,5.217522354,MSGN1_HUMAN
P17947,1,80,5.42758598,4.70011083,SPI1_HUMAN
Q9BRJ9,210,269,7.2513504,5.961912874,MESP1_HUMAN
P21675,268,327,4.09355791,4.056891583,TAF1_HUMAN
P21675,365,426,5.08414851,4.679723822,TAF1_HUMAN
Q8NHY6,67,126,5.51291952,5.025467926,ZFP28_HUMAN
P23771,1,69,4.66791803,4.419201243,GATA3_HUMAN
Q9H0E9,367,466,5.91895979,5.156524683,BRD8_HUMAN
P06733,246,312,5.01804708,4.621275342,ENOA_HUMAN
P0CJ85,342,425,5.41168037,5.111179413,DU4L2_HUMAN
O60315,927,987,4.8523222,4.576489746,ZEB2_HUMAN
Q13547,306,371,5.56642549,4.984101041,HDAC1_HUMAN
P61129,569,631,4.74142178,4.445106349,ZC3H6_HUMAN
Q96KN3,79,141,6.08387551,5.339192423,PKNX2_HUMAN
Q13148,166,226,5.11869529,4.721244125,TADBP_HUMAN
P0CJ89,342,425,5.41168037,5.111179413,DU4L6_HUMAN
O75030,434,501,4.57582304,4.387113626,MITF_HUMAN
Q96BA8,397,463,4.98611046,4.659872032,CR3L1_HUMAN
O00327,565,627,5.2770799,4.914039968,BMAL1_HUMAN
P41182,474,533,4.27817101,4.176652657,BCL6_HUMAN
O00716,239,296,4.46677438,4.265720584,E2F3_HUMAN
Q15973,1,66,5.69859448,5.325040648,ZN124_HUMAN
Q2M3X9,51,122,4.48590941,4.214470229,ZN674_HUMAN
O43524,339,431,5.28469687,4.938627524,FOXO3_HUMAN
O75717,1,66,5.33995275,4.999168808,WDHD1_HUMAN
O75717,301,381,6.19347724,4.970045468,WDHD1_HUMAN
Q9P0W2,141,205,4.93732147,4.559560348,HM20B_HUMAN
Q9NZI7,2,68,6.0325393,5.173066875,UBIP1_HUMAN
Q12901,81,140,4.34935969,4.250576793,ZN155_HUMAN
Q9UIE0,75,139,4.2741645,4.131098313,ZN230_HUMAN
O60281,1219,1313,5.58369111,5.042748918,ZN292_HUMAN
O14981,151,209,4.32022939,4.206226873,BTAF1_HUMAN
Q8N8J6,1,61,4.28297133,4.17481986,ZN615_HUMAN
O15156,270,331,4.37645819,4.173592287,ZBT7B_HUMAN
Q68CP9,200,274,5.78215646,5.104280998,ARID2_HUMAN
Q3T8J9,58,115,4.40464369,4.221633608,GON4L_HUMAN
Q16587,8,69,4.80906976,4.564387622,ZNF74_HUMAN
Q9UMS5,334,399,5.44748373,4.840683135,PHTF1_HUMAN
O14627,59,119,4.46504426,4.291705038,CDX4_HUMAN
Q86Y25,79,145,6.09819746,5.245695429,Z354C_HUMAN
Q96GC6,47,113,4.46226892,4.281315061,ZN274_HUMAN
P32519,1,70,5.79781613,5.047394656,ELF1_HUMAN
P11161,14,77,4.35427843,4.174682273,EGR2_HUMAN
Q12772,404,467,5.03518624,4.650427663,SRBP2_HUMAN
Q9P243,484,557,5.51798026,4.87543068,ZFAT_HUMAN
P98177,259,318,5.01958851,4.650945557,FOXO4_HUMAN
Q03701,877,940,4.30081876,4.179743557,CEBPZ_HUMAN
Q15776,186,252,4.58997517,4.281788491,ZKSC8_HUMAN
O75626,14,87,5.70435362,5.149115187,PRDM1_HUMAN
Q96NG8,72,138,4.54028872,4.347849266,ZN582_HUMAN
Q7Z5J4,829,888,4.27943088,4.172955597,RAI1_HUMAN
P42229,704,768,4.95670837,4.692180733,STA5A_HUMAN
Q99081,1,68,4.86617444,4.476127625,HTF4_HUMAN
Q9UGL1,849,912,5.77630592,5.028455162,KDM5B_HUMAN
Q9Y462,48,110,4.7878452,4.433350999,ZN711_HUMAN
Q9BT81,169,235,5.30079096,4.806243391,SOX7_HUMAN
P10070,1467,1536,5.90101563,5.094209478,GLI2_HUMAN
P17024,1,60,4.53586998,4.38489521,ZNF20_HUMAN
P27540,728,790,6.37512108,5.291246431,ARNT_HUMAN
P19484,392,477,5.5574044,4.86168935,TFEB_HUMAN
Q99676,1,62,5.46528092,5.021632038,ZN184_HUMAN
P0CG31,143,202,4.81080742,4.50271201,Z286B_HUMAN
Q13487,191,248,4.42505342,4.309269126,SNPC2_HUMAN
P17027,26,104,5.08347114,4.625824867,ZNF23_HUMAN
P06401,96,163,5.42444748,4.830811997,PRGR_HUMAN
P0CJ90,342,425,5.41168037,5.111179413,DU4L7_HUMAN
Q96RY5,508,598,4.77599716,4.392196049,CRML_HUMAN
Q96N77,150,213,5.18477889,4.661154305,ZN641_HUMAN
Q96N77,203,269,6.5095184,5.380392738,ZN641_HUMAN
Q6R2W3,100,172,5.52921636,4.886216599,ZBED9_HUMAN
Q6R2W3,165,228,5.00231971,4.587283118,ZBED9_HUMAN
O14978,178,250,5.48856944,5.110728284,ZN263_HUMAN
Q9UC06,1,76,6.06806843,5.248885244,ZNF70_HUMAN
Q06889,140,212,5.6492776,4.902449265,EGR3_HUMAN
Q6ZN28,29,91,5.13341378,4.738736519,MACC1_HUMAN
Q6ZN28,119,181,5.392153,4.946374872,MACC1_HUMAN
P17017,1,58,4.7028768,4.443845974,ZNF14_HUMAN
Q8NAP3,615,690,4.91735003,4.498682506,ZBT38_HUMAN
Q8NCP5,495,571,5.82172187,5.242463976,ZBT44_HUMAN
Q6ZN30,774,831,4.43603092,4.236294628,BNC2_HUMAN
P57071,266,335,6.01873286,5.233247946,PRD15_HUMAN
Q96RE9,33,90,4.22372566,4.134502928,ZN300_HUMAN
Q8N1W2,23,94,5.27195362,4.788785351,ZN710_HUMAN
P15884,1,69,5.90771764,5.232996925,ITF2_HUMAN
Q14592,58,117,4.21273196,4.130810124,ZN460_HUMAN
Q07352,217,278,4.54897192,4.329630298,TISB_HUMAN
P15822,1805,1865,4.75954484,4.496148935,ZEP1_HUMAN
Q9HBT7,133,191,4.46477674,4.265534687,ZN287_HUMAN
Q8N393,7,67,4.30758017,4.197728226,ZN786_HUMAN
Q9UJW7,109,178,5.73918242,5.045558746,ZN229_HUMAN
Q05215,223,287,4.59568496,4.350349998,EGR4_HUMAN
Q01826,706,764,4.34422202,4.177625482,SATB1_HUMAN
Q8NBB4,124,185,4.91557186,4.530968211,ZSCA1_HUMAN
Q8WVM7,467,529,5.15165727,4.694937516,STAG1_HUMAN
Q03933,479,537,5.2686588,4.772988922,HSF2_HUMAN
Q6V9R5,1,69,6.33142177,5.629830226,ZN562_HUMAN
O14896,177,236,4.48061276,4.295708514,IRF6_HUMAN
P17022,199,285,6.05781522,5.013532513,ZNF18_HUMAN
Q03111,491,549,4.75740657,4.43140294,ENL_HUMAN
P98169,69,139,4.83118108,4.456089869,ZXDB_HUMAN
P98169,647,719,4.67662733,4.390805266,ZXDB_HUMAN
P98169,724,791,4.91385536,4.543388341,ZXDB_HUMAN
P53805,8,74,5.66802293,4.943179059,RCAN1_HUMAN
P17032,95,160,4.81429083,4.508229428,ZN37A_HUMAN
Q9NWS9,176,263,5.73796064,4.976008726,ZN446_HUMAN
Q5VIY5,56,113,4.13815784,4.0794291,ZN468_HUMAN
Q9Y4E5,827,886,5.06822197,4.751718077,ZN451_HUMAN
P51692,709,771,4.83757128,4.559152944,STA5B_HUMAN
Q8IZQ8,700,758,4.25953347,4.132988065,MYCD_HUMAN
Q96KC8,280,344,5.58950667,4.954168275,DNJC1_HUMAN
Q8NFU7,369,429,4.25298201,4.171793063,TET1_HUMAN
Q8NFU7,1951,2015,5.62035952,4.964666737,TET1_HUMAN
O94900,9,85,5.61473218,4.892785185,TOX_HUMAN
P12524,1,66,5.61397028,5.02049175,MYCL_HUMAN
Q9Y6Q9,1030,1088,4.33252056,4.239275875,NCOA3_HUMAN
P08151,193,261,4.54627147,4.355364578,GLI1_HUMAN
Q9NP62,363,433,6.00978818,5.295311152,GCM1_HUMAN
Q9BWX5,133,193,4.3382118,4.202541404,GATA5_HUMAN
P0CJ86,342,425,5.41168037,5.111179413,DU4L3_HUMAN
O75478,42,118,5.76484603,5.301540488,TAD2A_HUMAN
Q9GZU2,1070,1129,4.6116801,4.370333266,PEG3_HUMAN
Q9C0F3,1,70,5.7183809,5.192850494,ZN436_HUMAN
Q9Y222,112,170,4.62574866,4.398434198,DMTF1_HUMAN
Q9Y222,315,380,6.44363562,5.491530631,DMTF1_HUMAN
Q9Y222,674,746,4.90142677,4.536923233,DMTF1_HUMAN
Q6ISB3,15,77,5.55740859,5.076285114,GRHL2_HUMAN
O96006,629,695,5.88755506,5.357538919,ZBED1_HUMAN
P51523,113,197,6.27601021,5.15343422,ZNF84_HUMAN
Q9UPT8,430,498,5.51141273,4.956287425,ZC3H4_HUMAN
Q969W8,1,68,4.95136586,4.600564072,ZN566_HUMAN
Q9Y608,323,381,4.24712723,4.137216915,LRRFIP2_HUMAN
Q9BS31,1,80,6.05489398,4.969789108,ZN649_HUMAN
Q14765,152,212,4.73888051,4.467490898,STAT4_HUMAN
Q8TE12,298,383,5.55660424,4.834404313,LMX1A_HUMAN
P17029,113,182,5.2130616,4.857460175,ZKSC1_HUMAN
P17029,190,250,5.05334631,4.677101081,ZKSC1_HUMAN
Q86UP3,1053,1115,4.69705816,4.421898099,ZFHX4_HUMAN
Q86UP3,1394,1459,5.06332311,4.718269564,ZFHX4_HUMAN
Q5JUK2,120,177,4.14731188,4.097890414,SOLH1_HUMAN
Q6IV72,1,66,6.07724943,5.463128795,ZN425_HUMAN
P98168,643,715,4.65629644,4.373593906,ZXDA_HUMAN
Q8N9F8,57,117,4.50220504,4.331907108,ZN454_HUMAN
P51826,1,58,5.48778278,4.797278958,AFF3_HUMAN
Q9UK11,84,144,4.48877319,4.307956796,ZN223_HUMAN
Q96LU7,487,544,4.1634113,4.104554336,MYRFL_HUMAN
Q01201,22,79,4.15995533,4.11405811,RELB_HUMAN
Q8NEP9,1,64,5.43808662,4.891230343,ZN555_HUMAN
Q9BTC8,117,174,4.30869282,4.187433734,MTA3_HUMAN
Q9BTC8,235,303,6.23665782,5.314980908,MTA3_HUMAN
Q9P2J8,17,87,4.97757836,4.630770089,ZN624_HUMAN
Q9HBT8,142,200,4.56871041,4.383270448,Z286A_HUMAN
Q68DY9,73,138,4.56490639,4.377146912,ZN772_HUMAN
P48742,257,327,5.7091663,5.000240699,LHX1_HUMAN
Q5SXM2,238,298,4.26418534,4.156473033,SNPC4_HUMAN
P26358,345,408,5.42210782,4.888486029,DNMT1_HUMAN
P26358,418,476,4.42596162,4.280279388,DNMT1_HUMAN
P26358,1019,1081,4.40261591,4.194447279,DNMT1_HUMAN
P23769,1,69,5.56938382,5.117059963,GATA2_HUMAN
Q8TE85,12,77,6.08952939,5.123747415,GRHL3_HUMAN
P0CJ87,338,423,5.52642166,5.158504254,DU4L4_HUMAN
O75541,354,413,6.22388386,5.542072223,ZN821_HUMAN
Q8TF50,97,157,4.7311313,4.420439355,ZN526_HUMAN
P19532,12,72,4.77637506,4.509183488,TFE3_HUMAN
Q96EB6,105,163,4.19442111,4.124558567,SIR1_HUMAN
Q9NR83,109,177,5.10030782,4.632157283,S2A4R_HUMAN
P12525,17,87,6.02210512,5.120315365,MYCP1_HUMAN
Q8NI51,135,192,4.3898503,4.238948542,CTCFL_HUMAN
Q8IXZ3,164,238,5.6691879,4.738797919,SP8_HUMAN
Q8N823,65,132,4.88988704,4.552778811,ZN611_HUMAN
Q6ZN06,52,116,4.94759327,4.50018471,ZN813_HUMAN
Q8N0Y2,49,117,5.39985079,4.78763199,ZN444_HUMAN
Q6NX45,79,163,6.08658282,4.960540343,ZN774_HUMAN
Q15596,12,70,4.66279961,4.456296722,NCOA2_HUMAN
Q15596,781,860,6.00693612,5.319240787,NCOA2_HUMAN
A1YPR0,223,305,5.2537894,4.650111141,ZBTB7C_HUMAN
A1YPR0,283,341,4.24050892,4.148323293,ZBTB7C_HUMAN
Q7Z353,564,627,5.3214688,4.863595396,HDX_HUMAN
O95785,172,229,4.28105774,4.192504748,WIZ_HUMAN
O95785,644,713,4.6213933,4.363489411,WIZ_HUMAN
Q8N720,155,212,4.11241482,4.06646379,ZN655_HUMAN
Q99743,115,173,4.4033187,4.27923142,NPAS2_HUMAN
Q4G112,329,387,4.39641598,4.278073303,HSF5_HUMAN
A6NJG6,149,248,5.71297784,4.602858038,ARGFX_HUMAN
Q16621,1,74,4.36424868,4.031405539,NFE2_HUMAN
Q8TAQ5,9,92,4.89834419,4.000508829,ZN420_HUMAN
Q8IYH5,808,904,5.89472348,4.773148833,ZZZ3_HUMAN
O60393,550,636,4.8327279,3.637922433,NOBOX_HUMAN
Q2M1K9,52,136,4.80747701,3.999113268,ZN423_HUMAN
Q53GI3,118,203,5.34518598,4.308867772,ZN394_HUMAN
P08048,275,357,5.35898837,4.159401273,ZFY_HUMAN
P17010,1,123,5.74216844,5.139643614,ZFX_HUMAN
Q8TBC5,123,198,4.41994742,3.732435698,ZSC18_HUMAN
Q13029,518,605,5.3156385,4.50648427,PRDM2_HUMAN
Q14872,37,114,4.23947361,3.962944948,MTF1_HUMAN
Q6SJ96,22,118,5.3556784,4.216415132,TBPL2_HUMAN
Q8N108,164,259,5.94483361,4.181616945,MIER1_HUMAN
Q12778,31,120,4.84431347,3.770040861,FOXO1_HUMAN
Q9UPW0,240,326,4.99894081,4.488226379,FOXJ3_HUMAN
O60381,18,126,6.1121916,4.651954966,HBP1_HUMAN
Q9Y2D1,109,180,4.56816932,4.188195924,ATF5_HUMAN
Q9Y4C1,974,1077,6.07157337,4.489607772,KDM3A_HUMAN
Q96ST3,328,403,4.96686769,4.144211927,SIN3A_HUMAN
O15405,7,117,5.56639423,4.403240004,TOX3_HUMAN
Q96GC6,249,345,5.51780204,4.800692248,ZN274_HUMAN
Q03701,813,895,5.19697553,4.529333128,CEBPZ_HUMAN
Q03701,944,1030,6.39672747,4.485085381,CEBPZ_HUMAN
Q99676,70,159,5.60466394,4.203450058,ZN184_HUMAN
O43151,1554,1657,5.90607408,3.984488367,TET3_HUMAN
Q96RY5,1190,1270,4.73184827,4.278377265,CRML_HUMAN
Q9BVI0,595,673,5.01496793,4.262437063,PHF20_HUMAN
Q8N8Y5,21,106,5.3152445,4.054346069,ZFP41_HUMAN
Q8N393,42,141,4.94629281,3.87040468,ZN786_HUMAN
Q9UJW7,10,98,4.93331726,4.199219914,ZN229_HUMAN
Q05215,121,208,4.61618058,3.710738323,EGR4_HUMAN
Q8WVM7,1168,1259,5.77792107,4.664317408,STAG1_HUMAN
Q8NDW4,53,121,4.46032773,4.182137574,ZN248_HUMAN
Q9Y5Q3,55,137,5.09603229,4.248811082,MAFB_HUMAN
Q9Y6Q9,762,848,4.63951821,4.247726438,NCOA3_HUMAN
Q96BR6,54,143,6.04317084,4.378958925,ZN669_HUMAN
Q8N859,66,152,5.37651788,4.02022605,ZN713_HUMAN
Q15788,864,972,5.36488769,4.073219429,NCOA1_HUMAN
O43298,274,365,5.46581367,4.388144383,ZBT43_HUMAN
P61371,263,347,4.83954346,4.35708523,ISL1_HUMAN
Q8IZM8,73,162,5.19514741,4.711339025,ZN654_HUMAN
O15353,123,206,4.82594838,4.366455512,FOXN1_HUMAN
Q9Y2D1,16,104,5.56238182,4.39751133,ATF5_HUMAN
Q96LX8,1,107,5.61767159,3.926588026,ZN597_HUMAN
P22736,14,112,5.64061886,4.396737491,NR4A1_HUMAN
